epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2822,1.11351,2.88752,1.21647,0.00333,1,0.94216,0.69943,0.808,3.31769,0.93362,0.00034,0.00034,0.00034
2,70.2554,0.97834,1.73006,1.0223,0.00321,0.96296,0.73369,0.57194,0.89881,3.44458,1.06889,0.00068614,0.00068614,0.00068614
3,103.189,1.00893,1.54583,1.06006,0.95826,0.56695,0.80707,0.51146,1.11129,2.96903,1.12639,0.00101802,0.00101802,0.00101802
4,136.289,1.05884,1.55939,1.06965,0.71695,0.68798,0.78882,0.54934,1.07753,2.36547,1.08887,0.00133565,0.00133565,0.00133565
5,169.165,1.07126,1.49268,1.10307,0.53614,0.61361,0.52285,0.32492,1.22007,2.71527,1.2303,0.00163902,0.00163902,0.00163902
6,201.997,1.08436,1.44477,1.1206,0.29773,0.77778,0.32143,0.17459,1.24331,4.47587,1.24019,0.001802,0.001802,0.001802
7,234.331,1.06684,1.34876,1.10105,0.56984,0.66667,0.67322,0.42884,1.14813,2.83533,1.11005,0.0017624,0.0017624,0.0017624
8,266.768,1.01404,1.25401,1.09344,0.76365,0.81481,0.80369,0.51466,1.12977,2.01542,1.09964,0.0017228,0.0017228,0.0017228
9,299.225,1.03424,1.14543,1.10334,0.86604,0.87796,0.9354,0.7127,0.87255,1.41421,1.02544,0.0016832,0.0016832,0.0016832
10,331.646,1.03174,1.05945,1.09388,0.62674,0.8642,0.66384,0.50466,0.95074,1.53649,1.05744,0.0016436,0.0016436,0.0016436
11,364.145,0.96861,1.03287,1.06172,0.69303,0.55556,0.6382,0.43757,1.07822,1.8571,1.14475,0.001604,0.001604,0.001604
12,396.407,0.98481,0.98823,1.07962,0.91802,0.83951,0.93356,0.70057,0.8905,1.18975,1.03769,0.0015644,0.0015644,0.0015644
13,428.823,0.92316,0.91104,1.05947,0.93962,0.92593,0.96837,0.69252,0.90347,1.33486,1.03455,0.0015248,0.0015248,0.0015248
14,460.988,0.97156,0.95064,1.10611,0.99342,0.92593,0.9633,0.75,0.86973,0.94789,0.99629,0.0014852,0.0014852,0.0014852
15,493.896,0.93534,0.87303,1.05737,0.9682,0.97531,0.97619,0.78294,0.80832,0.86512,1.00735,0.0014456,0.0014456,0.0014456
